,trial,function,noise,init_gamma,gamma,scorer,value,mi
0,1,line,0.001,17.74167051906388,1774.167051906386,hsic,0.027798065731458804,5.329691160485032
1,1,line,0.001,17.74167051906388,1470.1507053991284,hsic,0.030321740727962877,5.329691160485032
2,1,line,0.001,17.74167051906388,1218.229757036204,hsic,0.03304951895567968,5.329691160485032
3,1,line,0.001,17.74167051906388,1009.4772838445693,hsic,0.035993003644710184,5.329691160485032
4,1,line,0.001,17.74167051906388,836.4960556187791,hsic,0.039163291698189696,5.329691160485032
5,1,line,0.001,17.74167051906388,693.1564110099514,hsic,0.04257059241385704,5.329691160485032
6,1,line,0.001,17.74167051906388,574.3790504412872,hsic,0.04622374329103678,5.329691160485032
7,1,line,0.001,17.74167051906388,475.95504902730926,hsic,0.05012960445303166,5.329691160485032
8,1,line,0.001,17.74167051906388,394.3967115801767,hsic,0.05429231552610124,5.329691160485032
9,1,line,0.001,17.74167051906388,326.81398468856685,hsic,0.058712409815173304,5.329691160485032
10,1,line,0.001,17.74167051906388,270.81204648002233,hsic,0.06338578857334093,5.329691160485032
11,1,line,0.001,17.74167051906388,224.40644511765734,hsic,0.06830254983680391,5.329691160485032
12,1,line,0.001,17.74167051906388,185.95277892875808,hsic,0.07344564575027482,5.329691160485032
13,1,line,0.001,17.74167051906388,154.08842635156034,hsic,0.07878933195101812,5.329691160485032
14,1,line,0.001,17.74167051906388,127.68426087677176,hsic,0.08429738989060392,5.329691160485032
15,1,line,0.001,17.74167051906388,105.80463998282916,hsic,0.08992113514862896,5.329691160485032
16,1,line,0.001,17.74167051906388,87.67425025626312,hsic,0.09559723936700716,5.329691160485032
17,1,line,0.001,17.74167051906388,72.65063384030539,hsic,0.1012453886148417,5.329691160485032
18,1,line,0.001,17.74167051906388,60.20142267508103,hsic,0.10676583081293371,5.329691160485032
19,1,line,0.001,17.74167051906388,49.885473815275994,hsic,0.11203698677759764,5.329691160485032
20,1,line,0.001,17.74167051906388,41.337237347460075,hsic,0.11691350573014268,5.329691160485032
21,1,line,0.001,17.74167051906388,34.25380297775152,hsic,0.1212253771829552,5.329691160485032
22,1,line,0.001,17.74167051906388,28.384166280302086,hsic,0.12477894491484308,5.329691160485032
23,1,line,0.001,17.74167051906388,23.520334251677944,hsic,0.12736096481665068,5.329691160485032
24,1,line,0.001,17.74167051906388,19.489954992779417,hsic,0.12874722899181637,5.329691160485032
25,1,line,0.001,17.74167051906388,16.150210348029734,hsic,0.1287174988170278,5.329691160485032
26,1,line,0.001,17.74167051906388,13.382755084977784,hsic,0.12707792655871453,5.329691160485032
27,1,line,0.001,17.74167051906388,11.089523282051118,hsic,0.12369010819841242,5.329691160485032
28,1,line,0.001,17.74167051906388,9.189253322075416,hsic,0.11850250846478763,5.329691160485032
29,1,line,0.001,17.74167051906388,7.614608353268694,hsic,0.11157682475039067,5.329691160485032
30,1,line,0.001,17.74167051906388,6.309790180055018,hsic,0.10310117408859917,5.329691160485032
